"","id","celebrate","main_dish","main_dish_other","main_prep","main_prep_other","stuffing","stuffing_other","cranberry","cranberry_other","gravy","side1","side2","side3","side4","side5","side6","side7","side8","side9","side10","side11","side12","side13","side14","side15","pie1","pie2","pie3","pie4","pie5","pie6","pie7","pie8","pie9","pie10","pie11","pie12","pie13","dessert1","dessert2","dessert3","dessert4","dessert5","dessert6","dessert7","dessert8","dessert9","dessert10","dessert11","dessert12","prayer","travel","watch_program","kids_table_age","hometown_friends","friendsgiving","black_friday","work_retail","work_black_friday","community_type","age","gender","family_income","us_region"
"1",4337954960,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"None",NA,"Yes",NA,"Carrots",NA,NA,NA,NA,"Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes",NA,NA,NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheesecake","Cookies",NA,"Ice cream",NA,NA,NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in",NA,"12","Yes","No","No","No",NA,"Suburban","18 - 29","Male","$75,000 to $99,999","Middle Atlantic"
"2",4337951949,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Other (please specify)","Homemade cranberry gelatin ring","Yes",NA,NA,NA,"Corn",NA,NA,"Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad","Yams/sweet potato casserole","Other (please specify)","Asian vinagrette salad","Apple",NA,NA,"Chocolate",NA,NA,NA,NA,"Pumpkin",NA,NA,"Other (please specify)","Derby, Japanese fruit",NA,NA,NA,NA,"Cheesecake","Cookies",NA,NA,NA,NA,"Other (please specify)","Jelly roll, sweet cheeseball, chocolate dipped berries","Yes","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"19","No","No","Yes","No",NA,"Rural","18 - 29","Female","$50,000 to $74,999","East South Central"
"3",4337935621,"Yes","Turkey",NA,"Roasted",NA,"Rice-based",NA,"Homemade",NA,"Yes","Brussel sprouts","Carrots","Cauliflower","Corn","Cornbread",NA,NA,NA,"Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad",NA,NA,NA,"Apple",NA,"Cherry",NA,NA,NA,"Peach","Pecan","Pumpkin","Sweet Potato",NA,NA,NA,NA,NA,"Brownies","Carrot cake",NA,"Cookies","Fudge","Ice cream",NA,NA,NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in",NA,"13","Yes","Yes","Yes","No",NA,"Suburban","18 - 29","Male","$0 to $9,999","Mountain"
"4",4337933040,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Homemade",NA,"Yes","Brussel sprouts",NA,NA,NA,"Cornbread",NA,NA,NA,"Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad","Yams/sweet potato casserole",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pecan","Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"No","Thanksgiving is local--it will take place in the town I live in",NA,"10 or younger","Yes","No","No","No",NA,"Urban","30 - 44","Male","$200,000 and up","Pacific"
"5",4337931983,"Yes","Tofurkey",NA,"Baked",NA,"Bread-based",NA,"Canned",NA,"Yes","Brussel sprouts",NA,NA,NA,"Cornbread",NA,NA,NA,"Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"No","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"10 or younger","Yes","No","No","No",NA,"Urban","30 - 44","Male","$100,000 to $124,999","Pacific"
"6",4337929779,"Yes","Turkey",NA,"Roasted",NA,"Rice-based",NA,"Homemade",NA,"Yes","Brussel sprouts","Carrots","Cauliflower","Corn","Cornbread","Fruit salad","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweet Potato",NA,"Other (please specify)","Blueberry pie",NA,NA,NA,NA,"Cheesecake",NA,NA,NA,NA,NA,NA,NA,"Yes","Thanksgiving is happening at my home--I won't travel at all",NA,"20","Yes","Yes","Yes","No",NA,"Urban","18 - 29","Male","$0 to $9,999","Pacific"
"7",4337924420,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Canned",NA,"Yes",NA,NA,NA,NA,NA,"Fruit salad","Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cookies",NA,NA,NA,NA,NA,NA,"No","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"12","No","No","Yes","Yes","No","Rural","18 - 29","Male","$25,000 to $49,999","East North Central"
"8",4337916002,"Yes","Turkey",NA,"Baked",NA,"Rice-based",NA,"Homemade",NA,"Yes",NA,"Carrots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cookies",NA,NA,NA,NA,NA,NA,"No","Thanksgiving is out of town and far away--I have to drive several hours or fly",NA,"21 or older","Yes","Yes","Yes","Yes","Yes","Rural","18 - 29","Male","Prefer not to answer","Mountain"
"9",4337914977,"Yes","Turkey",NA,"Roasted",NA,"Bread-based",NA,"Canned",NA,"Yes","Brussel sprouts",NA,NA,"Corn","Cornbread",NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits","Squash",NA,NA,NA,NA,"Apple","Buttermilk",NA,NA,NA,NA,NA,NA,"Pumpkin","Sweet Potato",NA,NA,NA,NA,NA,NA,NA,NA,"Cookies",NA,NA,NA,NA,NA,NA,"No","Thanksgiving is happening at my home--I won't travel at all","Macy's Parade","21 or older","Yes","No","No","No",NA,"Urban","30 - 44","Male","$75,000 to $99,999","Middle Atlantic"
"10",4337899817,"Yes","Other (please specify)","Turkey and Ham","Baked",NA,"Bread-based",NA,"Other (please specify)","Both Canned and Homemade","Yes","Brussel sprouts","Carrots",NA,NA,NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,NA,"Buttermilk",NA,NA,NA,NA,NA,NA,"Pumpkin","Sweet Potato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"Yes","Thanksgiving is happening at my home--I won't travel at all","Macy's Parade","10 or younger","No","No","No","Yes","Yes","Suburban","30 - 44","Male","$25,000 to $49,999","East South Central"
"11",4337899680,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 - 44","Male","$25,000 to $49,999","Mountain"
"12",4337893416,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Canned",NA,"No",NA,NA,NA,"Corn",NA,NA,NA,"Macaroni and cheese","Mashed potatoes","Rolls/biscuits",NA,NA,NA,NA,NA,"Apple",NA,NA,"Chocolate",NA,NA,NA,"Pecan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)","Pie","Yes","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"12","No","No","No","No",NA,"Suburban","30 - 44","Male","$25,000 to $49,999","Middle Atlantic"
"13",4337888291,"Yes","Ham/Pork",NA,"Roasted",NA,"Bread-based",NA,"Canned",NA,"Yes",NA,NA,NA,"Corn","Cornbread",NA,NA,NA,"Mashed potatoes","Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,NA,NA,"Cherry",NA,NA,NA,"Peach",NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peach cobbler",NA,NA,NA,"Yes","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"21 or older","No","No","No","No",NA,"Suburban","18 - 29","Male","$0 to $9,999","East North Central"
